id,funded_amount,loan_amount,activity,sector,use,partner_id,repayment_interval
1232304,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232281,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232296,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232593,1000,1000,Vehicle,Personal Use,to purchase a motorbike to transport the fruit to sell at the market.,204,monthly
1232292,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232371,500,500,Vehicle,Personal Use,to purchase a secondhand motorbike for her husband.,106,monthly
1232228,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232601,1500,1500,Farming,Agriculture,"to purchase seed, fertilizer and pesticide to get rid of insects, which is expected to produce more yields.",204,monthly
1232771,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232774,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232222,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232718,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1232216,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232513,1000,1000,Pigs,Agriculture,to raise pigs,9,monthly
1232219,175,175,Consumer Goods,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232288,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232301,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232716,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232729,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232764,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1232741,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232726,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232298,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232538,900,900,Pigs,Agriculture,to purchase pigs and pig feeds,9,monthly
1232226,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232615,1200,1200,Vehicle,Personal Use,to purchase a motorbike for her child to commute to work on time and save some money from the cost of transportation service.,204,monthly
1232545,1975,1975,Personal Housing Expenses,Housing,to purchase construction materials to build a ground floor room.,9,monthly
1232560,1000,1000,Fuel/Firewood,Retail,to purchase a tractor for her husband to transfer firewood.,9,monthly
1232772,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232297,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1232754,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1232719,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232306,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232294,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232734,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1232526,900,900,Grocery Store,Food,to buy groceries to sell ,9,monthly
1232290,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232758,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1232743,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232742,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232522,1750,1750,Services,Services,to purchase gasoline for her husband's business.,9,monthly
1232282,1025,1025,Higher education costs,Education,to pay for his university tuition fees,9,monthly
1232748,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232287,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232224,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232669,525,525,Personal Housing Expenses,Housing,"to purchase brick, cement and other materials in order to construct a clean latrine for her family to use.",204,monthly
1232700,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232274,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232548,1000,1000,Grocery Store,Food,to buy groceries to sell,9,monthly
1232277,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232293,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232279,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232283,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232300,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232751,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1232749,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1232643,700,700,Retail,Retail,To purchase honey for resale in order to earn additional income to feed and support her children’s living.,204,monthly
1232707,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232676,525,525,Home Appliances,Personal Use,to build a proper latrine in order to provide a good environment around her household.,204,monthly
1232221,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232583,250,250,Cattle,Agriculture,to raise cows,9,monthly
1232285,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232303,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1232505,1500,1500,Food,Food,"to purchase ingredients, meat and vegetables to make food to sell as a breakfast.",9,monthly
1233187,1200,1200,Food Market,Food,to purchase more pork for resale which she hopes will earn additional income to improve her family’s lifestyle.,204,monthly
1233183,1500,1500,Farming,Agriculture,to buy fertilizer and seeds in order to increase her crop productivity.,204,monthly
1233455,2125,2125,Farming,Agriculture,to purchase fertilizer in order to make her crop grow fruitfully and bring her more yield.,204,monthly
1233178,1550,1550,Farming,Agriculture,to purchase fertilizer in order to produce a good yield and be able to sell at a better price.,204,monthly
1233189,400,400,Vehicle,Personal Use,to purchase a motorbike to transport her water lilies to market and be able to save money from the cost of transportation.,204,monthly
1233504,525,525,Personal Housing Expenses,Housing,"to construct a proper latrine, which she hopes will provide her family with good health.",204,monthly
1233555,525,525,Personal Housing Expenses,Housing,to construct a proper latrine to increase more sanitation and complement her family’s need as well.,204,monthly
1233375,1775,1775,Beverages,Food,to purchase soybeans and sugar for making juice to sell.,204,monthly
1233470,525,525,Personal Housing Expenses,Housing,to build a clean latrine which she hopes will provide good health to her whole family and protect them from illness.,204,monthly
1233498,1000,1000,Personal Housing Expenses,Housing,to purchase some construction supplies to build a decent latrine.,106,monthly
1233164,800,800,Farming,Agriculture,to pay for labor for harvesting her rice crop which she expects to sell at a better price thereby increasing her income to upgrade her family’s lifestyle.,204,monthly
1233209,1000,1000,Food,Food,"to buy more eggs for reselling, which is expected to lead to more profits.",204,monthly
1233065,1000,1000,Farming,Agriculture,"to purchase pesticide to protect her crop, increase yields and enable her to earn additional income to keep sending her children to school.",204,monthly
1233196,1375,1375,Farming,Agriculture,To buy seeds and fertilizer and pay for plowing fees in order to produce as good a yield as expected.,204,monthly
1233180,950,950,Farming,Agriculture,to buy pesticides to prevent her crops from insects so her crops will grow well.,204,monthly
1233389,750,750,Farming,Agriculture,to purchase fertilizer and pesticide to clear weeds in order to increase her income to sustain her family’s livelihood.,204,monthly
1233202,900,900,Butcher Shop,Food,to purchase more meat to sell which she hopes will earn additional income to sustain her family’s living.,204,monthly
1233487,525,525,Home Appliances,Personal Use,to construct a private and clean latrine for her family.,204,monthly
1233560,1100,1100,Food,Food,to buy more ingredients to make Khmer cake for sales.,204,monthly
1233355,1000,1000,Pigs,Agriculture,To cover the costs of building a piggery for her pig-raising business.,204,monthly
1233382,725,725,Laundry,Services,to purchase a new washing machine in order to sustain her laundry shop and increase her income.,204,monthly
1233552,525,525,Personal Housing Expenses,Housing,to build a latrine to increase more hygiene and complement her family’s need as well.,204,monthly
1233172,1625,1625,Farming,Agriculture,to buy seeds and fertilizer to increase more outputs and sells it in a better price.,204,monthly
1233547,525,525,Home Appliances,Personal Use,"to build a clean and close toilet in order to provide a good environment, which will help to improve her family’s health.",204,monthly
1233517,525,525,Personal Housing Expenses,Housing,to construct a hygienic latrine in order to increase sanitation and keep her children from falling ill.,204,monthly
1233168,1500,1500,Farming,Agriculture,"to purchase seed, fertilizer and pesticide to protect her crop from insects so she can produce good quality crops.",204,monthly
1233407,500,500,Fishing,Food,"buy a boat, net, and other fishing materials in order to increase the quantity of fishes so that she can earn additional income.",204,monthly
1233063,1525,1525,Grocery Store,Food,"to purchase more grocery items, such as milk, snacks, canned fish, and other grocery items.",204,monthly
1234012,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1233989,175,175,Home Appliances,Personal Use,"to buy a water filter, to provide safe drinking water for her family.",311,monthly
1234040,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his or her family.,311,monthly
1233966,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234027,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his or her family.,311,monthly
1233972,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233944,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234038,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his or her family.,311,monthly
1233979,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233949,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1233951,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234395,1500,1500,Farming,Agriculture,to cover plowing costs and purchase compost,9,monthly
1234035,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234021,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233950,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234025,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234220,1300,1300,Personal Housing Expenses,Housing,to repair her house.,61,monthly
1234007,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234018,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233991,175,175,Home Appliances,Personal Use,"to buy a water filter, to provide safe drinking water for her family.",311,monthly
1233955,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234031,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233947,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233993,200,200,Home Appliances,Personal Use,"to buy a water filter, to provide safe drinking water for her family.",311,monthly
1234034,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234006,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233976,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233975,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234086,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234009,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234015,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233988,125,125,Home Appliances,Personal Use,"to buy a water filter, to provide safe drinking water for her family.",311,monthly
1233946,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234023,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234032,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234044,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1233995,100,100,Home Appliances,Personal Use,"to buy a water filter, to provide safe drinking water for her family.",311,monthly
1233978,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234466,1000,1000,Fuel/Firewood,Retail,to buy firewood for her husband to resell.,9,monthly
1233970,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233969,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233956,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233981,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234401,1500,1500,Farming,Agriculture,to purchase natural fertilizer and to pay for plowing costs,9,monthly
1234083,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234382,1875,1875,Agriculture,Agriculture,to purchase natural fertilizer,9,monthly
1234019,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234016,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234388,1500,1500,Farm Supplies,Agriculture,to purchase natural fertilizer,9,monthly
1233962,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234378,2625,2625,Agriculture,Agriculture,to pay for insecticides and plowing expenses.,9,monthly
1234014,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234024,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234039,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his or her family.,311,monthly
1233973,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234085,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233996,625,625,Cattle,Agriculture,to raise cows,9,monthly
1234037,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his or her family.,311,monthly
1234081,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234399,875,875,Agriculture,Agriculture,to purchase natural fertilizer,9,monthly
1233952,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234041,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his or her family.,311,monthly
1233939,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234405,1000,1000,Farming,Agriculture,to purchase natural fertilizer and to cover plowing costs,9,monthly
1233965,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1233968,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1233992,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234051,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1233990,125,125,Home Appliances,Personal Use,"to buy a water filter, to provide safe drinking water for her family.",311,monthly
1234365,2425,2425,Agriculture,Agriculture,to purchase insecticides and to cover plowing expenses,9,monthly
1234470,1975,1975,Agriculture,Agriculture,to purchase cashew supplementation,9,monthly
1233986,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1233942,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234003,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233964,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234284,1500,1500,Motorcycle Transport,Transportation,to purchase a motorbike for ride to work.,61,monthly
1234030,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1233998,1500,1500,Grocery Store,Food, to purchase more groceries,9,monthly
1233940,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1233984,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234366,1400,1400,Farming,Agriculture,to purchase insecticides and to pay for plowing costs,9,monthly
1234082,1000,1000,Farming,Agriculture,to purchase seeds and pesticides to get rid of the insects from her farmland and increase the expected yields.,204,monthly
1233985,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234468,1000,1000,Agriculture,Agriculture,to purchase natural fertilizer and to cover plowing costs,9,monthly
1233977,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234408,875,875,Agriculture,Agriculture,to purchase cashew supplementation,9,monthly
1233943,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234028,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his or her family.,311,monthly
1233974,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234413,500,500,Personal Housing Expenses,Housing,to pay to refill land at her house.,61,monthly
1234417,1000,1000,Personal Housing Expenses,Housing,to purchase lumber and construction materials to build a new house.,9,monthly
1233958,400,400,Higher education costs,Education,to pay her educational fees,9,monthly
1234050,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234010,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234375,1250,1250,Farming,Agriculture,to cover plowing costs and purchase insecticides.,9,monthly
1233945,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234092,1300,1300,Farming,Agriculture,"to buy seed, fertilizer and pesticide in order to increase more yields and also increase her family’s financial income.",204,monthly
1234935,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1235049,875,875,Pigs,Agriculture,to purchase more pigs for fattening.,9,monthly
1235065,1100,1100,Farming,Agriculture,to purchase insecticides for her cashew farm,9,monthly
1235045,2475,2475,Farming,Agriculture,to purchase fertilizer and pay plowing costs to cultivate rice in the dry season.,9,monthly
1234898,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234878,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235056,675,675,Farming,Agriculture,to purchase cashew supplementation,9,monthly
1234900,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234894,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234888,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234863,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234928,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234916,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234897,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234857,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234896,175,175,Personal Housing Expenses,Housing,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234889,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234850,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234892,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235038,1000,1000,Fruits & Vegetables,Food,to purchase more cassava for her husband to resell,9,monthly
1234895,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234851,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234917,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234899,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234909,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234927,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1234904,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235058,750,750,Farming,Agriculture,to cover laborers' costs to grow more cashews.,9,monthly
1234930,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235061,850,850,Agriculture,Agriculture,to purchase insecticides for her cashew farm,9,monthly
1235053,300,300,Pigs,Agriculture,to purchase pigs and feed.,9,monthly
1234907,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235040,1000,1000,Food Production/Sales,Food,to purchase cashews for reselling.,9,monthly
1234876,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234887,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234875,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1235182,1200,1200,Vehicle,Personal Use,to purchase a motorbike.,61,monthly
1234918,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234872,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234915,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234864,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234869,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235048,2475,2475,Farming,Agriculture,to purchase natural fertilizer and cover the plowing costs,9,monthly
1234865,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235050,1000,1000,Farming,Agriculture,to grow sugarcane for his business,9,monthly
1234881,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234912,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234862,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234883,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234923,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234884,200,200,Personal Housing Expenses,Housing,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234890,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234920,100,100,Personal Housing Expenses,Housing,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234882,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234858,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235142,1500,1500,Vehicle,Personal Use,to purchase a motorbike for the family to use to reduce transport costs.,61,monthly
1234911,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234859,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235054,1750,1750,Personal Housing Expenses,Housing,to purchase lumber and construction materials to build a new house.,9,monthly
1234906,200,200,Personal Housing Expenses,Housing,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234932,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234866,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1234891,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234925,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1234931,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235636,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235613,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1235524,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235608,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235631,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235559,1000,1000,Personal Expenses,Personal Use,to purchase car paint.,61,monthly
1235561,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235518,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235627,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.,311,monthly
1235570,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1235505,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235515,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235564,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1235569,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235749,400,400,Entertainment,Entertainment,to purchase microphone equipment for rent,9,monthly
1235504,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1235638,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235639,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235641,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235530,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235625,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235572,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1235884,1350,1350,Farming,Agriculture,to purchase fertilizer and pay plowing costs.,9,monthly
1235887,1000,1000,Farming,Agriculture,to purchase natural fertilizer and cover the plowing costs,9,monthly
1235508,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235529,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235527,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235642,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235574,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235629,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235531,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235499,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
1235568,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
1235542,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
1235637,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
